Date,,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-10-01 09:30:00-04:00,AAPL,227.95,229.3,227.43,,219.04,2100300,
2018-10-01 09:40:00-04:00,AAPL,228.78,229.24,228.61,,218.41,935540,
2018-10-01 09:50:00-04:00,AAPL,229.07,229.34,228.63,,219.66,677901,
2018-10-01 10:00:00-04:00,AAPL,228.77,229.42,228.66,,219.12,769602,
2018-10-01 10:10:00-04:00,AAPL,229.1,229.15,228.473,,219.1,536338,
2018-10-01 10:20:00-04:00,AAPL,228.48,229.01,228.46,,218.81,457266,
2018-10-01 10:30:00-04:00,AAPL,228.9625,229,228.76,,218.87,355076,
2018-10-01 10:40:00-04:00,AAPL,228.81,228.83,228.48,,218.78,377812,
2018-10-01 10:50:00-04:00,AAPL,228.69,229,228.62,,219.5999,381524,
2018-10-01 11:00:00-04:00,AAPL,228.88,228.88,228.13,,220.54,509334,
2018-10-01 11:10:00-04:00,AAPL,228.15,228.59,228.1488,,220.3,378571,
2018-10-01 11:20:00-04:00,AAPL,228.53,228.82,228.44,,221.1,267722,
2018-10-01 11:30:00-04:00,AAPL,228.58,228.8,228.49,,221.4223,300393,
2018-10-01 11:40:00-04:00,AAPL,228.77,228.99,228.76,,221.84,267446,
2018-10-01 11:50:00-04:00,AAPL,228.87,228.8871,228.46,,222.23,345839,
2018-10-01 12:00:00-04:00,AAPL,228.885,228.885,228.57,,222.58,238599,
2018-10-01 12:10:00-04:00,AAPL,228.64,228.65,228.45,,222.615,205303,
2018-10-01 12:20:00-04:00,AAPL,228.4923,228.51,227.92,,222.8,419710,
2018-10-01 12:30:00-04:00,AAPL,227.97,228.1,227.78,,222.76,298572,
2018-10-01 12:40:00-04:00,AAPL,228.074,228.1426,227.6646,,222.765,321436,
2018-10-01 12:50:00-04:00,AAPL,227.755,227.86,227.55,,222.73,232707,
2018-10-01 13:00:00-04:00,AAPL,227.58,227.69,227.41,,223.77,368317,
2018-10-01 13:10:00-04:00,AAPL,227.61,227.93,227.58,,221.19,274964,
2018-10-01 13:20:00-04:00,AAPL,227.92,228.01,227.79,,221.95,257859,
