Date,,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-10-01 09:30:00-04:00,AAPL,227.95,229.3,227.43,,227.95,2100300,
2018-10-01 09:40:00-04:00,AAPL,228.78,229.24,228.61,,228.78,935540,
2018-10-01 09:50:00-04:00,AAPL,229.07,229.34,228.63,,229.07,677901,
2018-10-01 10:00:00-04:00,AAPL,228.77,229.42,228.66,,228.77,769602,
2018-10-01 10:10:00-04:00,AAPL,229.1,229.15,228.473,,229.1,536338,
2018-10-01 10:20:00-04:00,AAPL,228.48,229.01,228.46,,228.48,457266,
2018-10-01 10:30:00-04:00,AAPL,228.9625,229,228.76,,228.9625,355076,
2018-10-01 10:40:00-04:00,AAPL,228.81,228.83,228.48,,228.81,377812,
2018-10-01 10:50:00-04:00,AAPL,228.69,229,228.62,,228.69,381524,
2018-10-01 11:00:00-04:00,AAPL,228.88,228.88,228.13,,228.88,509334,
2018-10-01 11:10:00-04:00,AAPL,228.15,228.59,228.1488,,228.15,378571,
2018-10-01 11:20:00-04:00,AAPL,228.53,228.82,228.44,,228.53,267722,
2018-10-01 11:30:00-04:00,AAPL,228.58,228.8,228.49,,228.58,300393,
2018-10-01 11:40:00-04:00,AAPL,228.77,228.99,228.76,,228.77,267446,
2018-10-01 11:50:00-04:00,AAPL,228.87,228.8871,228.46,,228.87,345839,
2018-10-01 12:00:00-04:00,AAPL,228.885,228.885,228.57,,228.885,238599,
2018-10-01 12:10:00-04:00,AAPL,228.64,228.65,228.45,,228.64,205303,
2018-10-01 12:20:00-04:00,AAPL,228.4923,228.51,227.92,,228.4923,419710,
2018-10-01 12:30:00-04:00,AAPL,227.97,228.1,227.78,,227.97,298572,
2018-10-01 12:40:00-04:00,AAPL,228.074,228.1426,227.6646,,228.074,321436,
2018-10-01 12:50:00-04:00,AAPL,227.755,227.86,227.55,,227.755,232707,
2018-10-01 13:00:00-04:00,AAPL,227.58,227.69,227.41,,227.58,368317,
2018-10-01 13:10:00-04:00,AAPL,227.61,227.93,227.58,,227.61,274964,
2018-10-01 13:20:00-04:00,AAPL,227.92,228.01,227.79,,227.92,257859,
2018-10-01 13:30:00-04:00,AAPL,227.91,227.95,227.7634,,227.91,180786,
2018-10-01 13:40:00-04:00,AAPL,227.87,227.957,227.81,,227.87,167647,
2018-10-01 13:50:00-04:00,AAPL,227.87,227.95,227.59,,227.87,218921,
2018-10-01 14:00:00-04:00,AAPL,227.74,227.77,227.18,,227.74,332887,
2018-10-01 14:10:00-04:00,AAPL,227.28,227.48,227.19,,227.28,212764,
2018-10-01 14:20:00-04:00,AAPL,227.459,227.59,227.29,,227.459,198699,
2018-10-01 14:30:00-04:00,AAPL,227.341,227.3529,226.73,,227.341,491638,
2018-10-01 14:40:00-04:00,AAPL,226.99,227.15,226.83,,226.99,261219,
2018-10-01 14:50:00-04:00,AAPL,226.964,227.1915,226.84,,226.964,256876,
