symbol	avgTotalVolume	calculationPrice	change	changePercent	close	closeTime	companyName	delayedPrice	delayedPriceTime	extendedChange	extendedChangePercent	extendedPrice	extendedPriceTime	high	iexAskPrice	iexAskSize	iexBidPrice	iexBidSize	iexLastUpdated	iexMarketPercent	iexRealtimePrice	iexRealtimeSize	iexVolume	latestPrice	latestSource	latestTime	latestUpdate	latestVolume	low	marketCap	open	openTime	peRatio	previousClose	primaryExchange	sector	week52High	week52Low	ytdChange
NEWR	991336	close	-5.02	-0.05761	82.12	2018-10-24 20:01:14.780	New Relic Inc.	82.12	2018-10-24 20:01:14.780	0.0	0.0	82.12	2018-10-24 20:30:01.508	87.618	0.0	0.0	0.0	0.0	2018-10-24 19:59:57.318	0.02932	82.07	34.0	17726.0	82.12	Close	2018-10-24 00:00:00	1540411274780	604570	82.02	4640590689	87.0	2018-10-24 13:30:00.654	-90.24	87.14	New York Stock Exchange	Technology	114.78	49.56	0.42436278911564634
ARRS	1047364	close	1.52	0.06744	24.06	2018-10-24 20:00:00.353	ARRIS International plc	24.06	2018-10-24 20:00:00.353	1.89	0.07855	25.95	2018-10-24 20:30:52.786	25.38	0.0	0.0	0.0	0.0	2018-10-24 19:59:41.706	0.09585	24.05	200.0	460427.0	24.06	Close	2018-10-24 00:00:00	1540411200353	4803620	21.55	4338757099	22.47	2018-10-24 13:30:00.563	8.5	22.54	Nasdaq Global Select	Technology	30.0	21.55	-0.05789954210322082
BL	371720	close	-2.14	-0.0489	41.62	2018-10-24 20:00:00.385	BlackLine Inc.	41.62	2018-10-24 20:00:00.385	0.0	0.0	41.62	2018-10-24 20:30:01.778	44.04	0.0	0.0	0.0	0.0	2018-10-24 19:59:14.151	0.02002	41.61	20.0	6095.0	41.62	Close	2018-10-24 00:00:00	1540411200385	304446	41.4	2244932107	43.75	2018-10-24 13:30:00.731	-115.61	43.76	Nasdaq Global Select	Technology	58.11	31.53	0.2608874887758157
KYO	28979	close	-1.06	-0.01886	55.15	2018-06-25 20:02:05.505	Kyocera Corporation	55.15	2018-06-25 20:02:05.505	1.03	0.01868	56.18	2018-06-21 20:34:38.642	55.74	0.0	0.0	0.0	0.0	2018-06-25 16:22:36.017	0.00295	55.215	100.0	112.0	55.15	Close	2018-06-25 00:00:00	1529956925505	37966	55.14	19950860662	55.64	2018-06-25 13:30:00.304	18.14	56.21	New York Stock Exchange	Technology	71.92	53.79	-0.18287394573290888
AEIS	402875	close	-1.92	-0.04284	42.9	2018-10-24 20:00:00.254	Advanced Energy Industries Inc.	42.9	2018-10-24 20:00:00.254	-0.005	-0.00012	42.895	2018-10-24 20:29:01.062	45.23	0.0	0.0	0.0	0.0	2018-10-24 19:58:40.005	0.03812	42.89	43.0	15360.0	42.9	Close	2018-10-24 00:00:00	1540411200254	402938	42.84	1677971981	44.41	2018-10-24 13:30:00.697	9.15	44.82	Nasdaq Global Select	Technology	95.0	42.84	-0.3971117187725111
DAKT	146377	close	-0.12	-0.01613	7.32	2018-10-24 20:00:00.496	Daktronics Inc.	7.32	2018-10-24 20:00:00.496	-0.001	-0.00014	7.319	2018-10-24 20:29:00.713	7.45	0.0	0.0	0.0	0.0	2018-10-24 19:42:57.307	0.00708	7.36	100.0	661.0	7.32	Close	2018-10-24 00:00:00	1540411200496	93362	7.3	326388735	7.42	2018-10-24 13:30:00.516	22.18	7.44	Nasdaq Global Select	Technology	10.55	7.14	-0.18580065834849277
ACIW	497688	close	-0.92	-0.03565	24.89	2018-10-24 20:00:00.291	ACI Worldwide Inc.	24.89	2018-10-24 20:00:00.291	0.0	0.0	24.89	2018-10-24 20:00:11.663	25.97	0.0	0.0	0.0	0.0	2018-10-24 19:59:50.313	0.02125	24.885	100.0	21634.0	24.89	Close	2018-10-24 00:00:00	1540411200291	1018071	24.78	2881267072	25.81	2018-10-24 13:30:00.863	55.31	25.81	Nasdaq Global Select	Technology	28.98	20.23	0.10185550903481698
PPSI	2957	close	0.72	0.15319	5.42	2018-10-24 20:00:00.475	Pioneer Power Solutions Inc.	5.42	2018-10-24 20:00:00.475						0.0	0.0	0.0	0.0	1970-01-01 00:00:00.000	0.0	0.0	0.0	0.0	5.42	Close	2018-10-24 00:00:00	1540411200475	98		47295164	4.76	2018-10-24 17:18:39.548	10.84	4.7	NASDAQ Capital Market	Technology	7.95		-0.22429344370860926
JCOM	358306	close	-2.03	-0.0273	72.34	2018-10-24 20:00:00.352	j2 Global Inc.	72.34	2018-10-24 20:00:00.352	0.864	0.01194	73.204	2018-10-24 20:11:05.868	75.15	0.0	0.0	0.0	0.0	2018-10-24 19:59:54.358	0.04153	72.36	200.0	17980.0	72.34	Close	2018-10-24 00:00:00	1540411200352	432940	72.3	3562216267	74.46	2018-10-24 13:30:00.851	13.18	74.37	Nasdaq Global Select	Technology	91.58	70.27	-0.01923767011136525
BKTI	18816	close	-0.01	-0.00249	4.01	2018-10-24 20:00:00.056	BK Technologies Inc.	4.01	2018-10-24 20:10:00.000	0.02	0.00499	4.03	2018-10-24 19:59:50.172	4.04	0.0	0.0	0.0	0.0	2018-10-24 19:59:50.172	0.04668	4.03	100.0	100.0	4.01	Close	2018-10-24 00:00:00	1540411200056	2142	4.004	54157195	4.02	2018-10-24 19:24:29.932		4.02	NYSE American	Technology	4.31	3	0.18080261472345674
SREV	946114	close	-0.01	-0.00725	1.37	2018-10-24 20:00:00.434	ServiceSource International Inc.	1.37	2018-10-24 20:00:00.434	-0.005	-0.00365	1.365	2018-10-24 19:57:25.111	1.41	0.0	0.0	0.0	0.0	2018-10-24 19:57:25.111	0.03527	1.365	100.0	90699.0	1.37	Close	2018-10-24 00:00:00	1540411200434	2571562	1.355	125822200	1.38	2018-10-24 13:30:00.025	137.0	1.38	Nasdaq Global Select	Technology	4.47	1.35	-0.5732877358490567
AVID	221321	close	-0.32	-0.0585	5.15	2018-10-24 20:00:00.536	Avid Technology Inc.	5.15	2018-10-24 20:00:00.536	0.0	0.0	5.15	2018-10-24 20:00:10.404	5.49	0.0	0.0	0.0	0.0	2018-10-24 19:55:21.270	0.03461	5.17	100.0	3894.0	5.15	Close	2018-10-24 00:00:00	1540411200536	112511	5.136	215220117	5.48	2018-10-24 13:30:00.691	-7.421932185906578e+17	5.47	Nasdaq Global Select	Technology	7.65	3.99	-0.07645332136445251
CISN	925282	close	-0.27	-0.01821	14.56	2018-10-24 20:02:01.046	Cision Ltd.	14.56	2018-10-24 20:02:01.046	0.0	0.0	14.56	2018-10-24 20:03:21.984	14.91	0.0	0.0	0.0	0.0	2018-10-24 19:57:42.496	0.10957	14.57	99.0	49772.0	14.56	Close	2018-10-24 00:00:00	1540411321046	454248	14.56	1932309361	14.79	2018-10-24 13:30:00.102	63.3	14.83	New York Stock Exchange	Technology	18.28	11.13	0.204378623248145
IPDN	8062	close	0.0624	0.02288	2.79	2018-10-24 20:00:00.451	Professional Diversity Network Inc.	2.79	2018-10-24 20:00:00.451	-0.1	-0.03584	2.69	2018-10-24 17:34:50.068	2.87	0.0	0.0	0.0	0.0	2018-10-24 17:34:50.068	0.01236	2.69	100.0	200.0	2.79	Close	2018-10-24 00:00:00	1540411200451	16181	2.56	13507517	2.76	2018-10-24 13:30:00.397		2.7276	NASDAQ Capital Market	Technology	6.63	2.45	-0.3627956756756758
STMP	383992	close	-8.65	-0.04413	187.35	2018-10-24 20:00:00.410	Stamps.com Inc.	187.35	2018-10-24 20:00:00.410	0.0	0.0	187.35	2018-10-24 20:41:04.000	199.31	0.0	0.0	0.0	0.0	2018-10-24 19:59:59.023	0.1216	187.12	10.0	38167.0	187.35	Close	2018-10-24 00:00:00	1540411200410	313873	187.02	3401287167	195.94	2018-10-24 13:30:00.211	16.56	196.0	Nasdaq Global Select	Technology	285.745	160	0.0020402695489725384
ZIXI	191728	close	0.61	0.12055	5.67	2018-10-24 20:00:00.353	Zix Corporation	5.67	2018-10-24 20:00:00.353	-0.03	-0.00529	5.64	2018-10-24 20:38:54.076	6.2	0.0	0.0	0.0	0.0	2018-10-24 19:59:59.096	0.01447	5.66	100.0	19952.0	5.67	Close	2018-10-24 00:00:00	1540411200353	1378853	5.57	307113327	5.85	2018-10-24 13:30:00.474	70.88	5.06	Nasdaq Global Select	Technology	6.2	3.815	0.2500142857142855
APWC	5370	sip	-0.0485	-0.0202	2.37	2018-10-23 20:00:00.554	Asia Pacific Wire & Cable Corporation Limited	2.352	2018-10-24 20:00:00.069	0.048	0.02041	2.4	2018-10-10 20:13:56.256	2.352	0.0	0.0	0.0	0.0	1970-01-01 00:00:00.000	0.0	0.0	0.0	0.0	2.352	15 minute delayed price	2018-10-24 16:00:00	1540411200069	732	2.352	32503861	2.44	2018-10-23 13:30:00.289		2.4005	NASDAQ Global Market	Technology	3.0	2.255	-0.1525912100621656
SNCR	248800	close	-0.06	-0.00958	6.2	2018-10-24 20:00:00.465	Synchronoss Technologies Inc.	6.2	2018-10-24 20:00:00.465	-0.03	-0.00484	6.17	2018-10-24 20:08:44.291	6.35	0.0	0.0	0.0	0.0	2018-10-24 19:59:42.116	0.02746	6.23	40.0	7453.0	6.2	Close	2018-10-24 00:00:00	1540411200465	271413	6.16	264492415	6.26	2018-10-24 13:30:00.700	-4.59	6.26	Nasdaq Global Select	Technology	12.12	3.9	-0.3239283023001096
PI	532910	close	-2.77	-0.13679	17.48	2018-10-24 20:00:00.237	Impinj Inc.	17.48	2018-10-24 20:00:00.237	0.02	0.00114	17.5	2018-10-24 20:43:21.192	20.89	0.0	0.0	0.0	0.0	2018-10-24 19:59:57.210	0.02108	17.45	128.0	11320.0	17.48	Close	2018-10-24 00:00:00	1540411200237	537002	17.43	426732458	20.25	2018-10-24 13:30:00.760	-18.8	20.25	Nasdaq Global Select	Technology	36.5	9.95	-0.2772823599320883
KONE	0	close	0.12	0.01589	7.67	2018-09-12 20:00:00.154	Kingtone Wirelessinfo Solution Holding Ltd	7.67	2018-09-12 20:00:00.154	-0.67	-0.08735	7.0	2018-09-07 20:44:17.488	7.7										7.67	Close	2018-09-12 00:00:00	1536782400154	4947	7.35	10776350	7.59	2018-09-12 13:30:00.358		7.55	NASDAQ Capital Market	Technology	7.8912	6.5001	0.17275274509803923
SAP	1111555	close	-4.37	-0.04056	103.37	2018-10-24 20:02:01.562	SAP SE ADS	103.37	2018-10-24 20:02:01.562	0.0	0.0	103.37	2018-10-24 20:16:20.213	106.43	0.0	0.0	0.0	0.0	2018-10-24 19:59:51.406	0.07951	103.34	100.0	105713.0	103.37	Close	2018-10-24 00:00:00	1540411321562	1329556	103.31	126990045000	106.29	2018-10-24 13:30:00.712	22.47	107.74	New York Stock Exchange	Technology	127.16	99.2	-0.06788412117010004
GVP	21820	close	-0.05	-0.01587	3.1	2018-10-24 20:00:00.249	GSE Systems Inc.	3.1	2018-10-24 20:00:00.249	0.14	0.04516	3.24	2018-10-19 20:44:35.351	3.14	0.0	0.0	0.0	0.0	1970-01-01 00:00:00.000	0.0	0.0	0.0	0.0	3.1	Close	2018-10-24 00:00:00	1540411200249	6343	3.08	61171851	3.13	2018-10-24 13:30:00.196		3.15	NASDAQ Capital Market	Technology	3.85	2.75	0.000259032258064458
MEET	819868	close	-0.2	-0.04545	4.2	2018-10-24 20:00:00.443	The Meet Group Inc.	4.2	2018-10-24 20:00:00.443	-0.005	-0.00119	4.195	2018-10-24 19:59:25.417	4.44	0.0	0.0	0.0	0.0	2018-10-24 19:59:25.417	0.00932	4.195	63.0	4190.0	4.2	Close	2018-10-24 00:00:00	1540411200443	449571	4.19	308106847	4.42	2018-10-24 13:30:00.685	16.15	4.4	NASDAQ Capital Market	Technology	5.63	1.84	0.4460754237288136
HQY	1014711	close	-5.17	-0.06023	80.67	2018-10-24 20:00:00.291	HealthEquity Inc.	80.67	2018-10-24 20:00:00.291	-0.67	-0.00831	80.0	2018-10-24 20:38:46.259	86.25	0.0	0.0	0.0	0.0	2018-10-24 19:59:44.961	0.03636	80.66	10.0	15505.0	80.67	Close	2018-10-24 00:00:00	1540411200291	426430	80.56	5022613182	85.94	2018-10-24 13:30:00.717	115.24	85.84	Nasdaq Global Select	Technology	99.99	42.92	0.7869832558639984
DWCH	60550	close	-0.38	-0.03979	9.17	2018-10-24 20:00:00.459	Datawatch Corporation	9.17	2018-10-24 20:00:00.459	-0.025	-0.00273	9.145	2018-10-24 19:57:00.875	9.712	0.0	0.0	0.0	0.0	2018-10-24 19:57:00.875	0.03918	9.145	100.0	1735.0	9.17	Close	2018-10-24 00:00:00	1540411200459	44283	9.05	116762353	9.48	2018-10-24 13:30:00.330	-458.5	9.55	NASDAQ Capital Market	Technology	14.1996	7.701	-0.007357567567567488
LORL	60309	close	-2.1	-0.04854	41.16	2018-10-24 20:00:00.231	Loral Space and Communications Inc.	41.16	2018-10-24 20:00:00.231	0.0	0.0	41.16	2018-10-24 20:00:02.530	43.805	0.0	0.0	0.0	0.0	2018-10-24 19:57:18.721	0.02636	41.09	100.0	1310.0	41.16	Close	2018-10-24 00:00:00	1540411200231	49697	40.92	1273192031	43.2	2018-10-24 13:30:00.557		43.26	Nasdaq Global Select	Technology	49.5	36.85	-0.09146035398230098
VUZI	306374	close	-0.23	-0.03692	6.0	2018-10-24 20:00:00.551	Vuzix Corporation	6.0	2018-10-24 20:00:00.551	0.0	0.0	6.0	2018-10-24 20:36:57.925	6.4	0.0	0.0	0.0	0.0	2018-10-24 19:58:46.759	0.01579	6.0	87.0	3787.0	6.0	Close	2018-10-24 00:00:00	1540411200551	239835	5.96	164558412	6.22	2018-10-24 13:30:00.625	-5.94	6.23	NASDAQ Capital Market	Technology	11.4	4.55	-0.04803111111111102
INST	673972	close	-1.14	-0.03464	31.77	2018-10-24 20:02:01.262	Instructure Inc.	31.77	2018-10-24 20:02:01.262	0.0	0.0	31.77	2018-10-24 20:03:02.293	33.27	0.0	0.0	0.0	0.0	2018-10-24 19:59:55.153	0.03159	31.8	200.0	26287.0	31.77	Close	2018-10-24 00:00:00	1540411321262	832130	31.72	1106527020	32.86	2018-10-24 13:30:00.502	-20.11	32.91	New York Stock Exchange	Technology	49.175	29.48	-0.047833403298350965
CEVA	116998	close	-2.4	-0.09185	23.73	2018-10-24 20:00:00.327	CEVA Inc.	23.73	2018-10-24 20:00:00.327	-0.003	-0.00013	23.727	2018-10-24 20:29:00.729	26.0	0.0	0.0	0.0	0.0	2018-10-24 19:59:54.962	0.05409	23.715	100.0	8578.0	23.73	Close	2018-10-24 00:00:00	1540411200327	158588	23.7	522805692	26.0	2018-10-24 13:30:00.330	91.27	26.13	Nasdaq Global Select	Technology	51.8	23.7	-0.52930963401507
UAVS	169093	close	0.1841	0.23204	0.9775	2018-10-24 20:00:00.039	AgEagle Aerial Systems Inc.	0.9775	2018-10-24 20:10:00.001	-0.0175	-0.0179	0.96	2018-10-24 20:57:17.063	1.48	0.0	0.0	0.0	0.0	2018-10-24 18:48:54.526	0.00101	1.045	35.0	1830.0	0.9775	Close	2018-10-24 00:00:00	1540411200039	1811881	0.79	10546248	0.8	2018-10-24 13:30:00.008		0.7934	NYSE American	Technology	9.7699	0.174	3.1003968990736226
WATT	430646	close	-0.35	-0.0406	8.27	2018-10-24 20:00:00.260	Energous Corporation	8.27	2018-10-24 20:00:00.260	0.0	0.0	8.27	2018-10-24 20:41:10.000	8.98	0.0	0.0	0.0	0.0	2018-10-24 19:59:28.281	0.00494	8.27	100.0	1974.0	8.27	Close	2018-10-24 00:00:00	1540411200260	399595	8.27	211875208	8.63	2018-10-24 13:30:00.246	-3.92	8.62	NASDAQ Capital Market	Technology	33.5	6.91	-0.6547450313339301
SAIC	408489	close	-3.38	-0.0464	69.46	2018-10-24 20:02:01.312	SCIENCE APPLICATIONS INTERNATIONAL CORPORATION	69.46	2018-10-24 20:02:01.312	0.0	0.0	69.46	2018-10-24 20:02:48.430	72.93	0.0	0.0	0.0	0.0	2018-10-24 19:59:45.296	0.03102	69.5	100.0	8869.0	69.46	Close	2018-10-24 00:00:00	1540411321312	285912	69.32	2941250429	72.7	2018-10-24 13:30:00.686	18.62	72.84	New York Stock Exchange	Technology	93.31	66.625	-0.0921875265932361
